"DAY SHEETS, as at 9:16AM on Wednesday 10th"
DAY 1: Monday 23rd March 2026
468 (T),11:43,37,G U16 4+,final,B,BARA 1,STMG 2,STAN 1,DIOC 2,RRGS 1,SAMU 1,OTUM 1,WTLG 1,,""
469 (U),11:50,37,G U16 4+,final,A,SHGH 1,CGHS 1,MLBG 2,WKDS 1,DIOC 1,MLBG 1,QMAR 1,STMG 1,,"medals"
470 (V),12:03,38,B U16 8+,final,B,,WTLB 1,CBHS 2,OBHS 1,CBHS 1,STPA 2,,,,""
471 (W),12:10,38,B U16 8+,final,A,CHCO 1,STBD 1,AGSB 1,KGCA 1,HAMB 1,STPA 1,STKT 1,STAN 1,,"medals"
472 (X),12:23,39,G U17 2-,final,B,BARA 1,AOTE 1,CASH 1,STMG 1,RRGS 4,STKT 2,STKT 1,SAMU 2,,""
473 (Y),12:30,39,G U17 2-,final,A,AVSG 1,WTLG 1,ASHB 1,STAN 1,WKDS 1,SAMU 1,EGGS 1,GGHS 2,,"medals"
474 (Z),12:43,40,B U17 2-,final,B,CASH 2,OTUM 1,WTKB 1,HAMB 2,CASH 1,MTAL 1,GLDW 1,KGCA 2,,""
475 (A),12:50,40,B U17 2-,final,A,HAMB 1,STCC 1,WTLB 1,TIMB 1,GBHS 1,TRGB 1,STAN 1,STBD 1,,"medals"
476 (B),13:03,41,G U18 4X+,final,B,VILL 2,WTLG 1,SHGN 1,MTAL 1,KGCA 1,CRAI 1,GLDW 1,BURN 1,,""
477 (C),13:10,41,G U18 4X+,final,A,HLCR 1,SPLH 1,DIOC 1,CASH 1,COLU 1,CAMB 1,VILL 1,OGHS 1,,"medals"
478 (D),13:23,42,B U18 2X,final,B,SHIR 1,HAUR 2,FRAN 1,TAUP 1,WNHS 1,NGAR 1,STPC 1,WNCS 1,,""
479 (E),13:30,42,B U18 2X,final,A,SPLH 2,NAPB 1,HAUR 1,SPLH 1,NPLB 1,MLBB 1,SHAK 1,SPTW 1,,"medals"
480 (F),13:43,43,G U15 8+,final,B,,,,STMG 2,WTLG 1,,,,,""
481 (G),13:50,43,G U15 8+,final,A,BARA 1,DIOC 1,RRGS 1,WKDS 1,STPC 1,STMG 1,CGHS 1,EGGS 1,,"medals"
482 (H),14:03,44,B U15 4+,final,B,WTLB 3,CBHS 1,CBHS 2,STCC 2,STBD 1,MTAL 1,KGCA 2,SJHM 1,,""
483 (I),14:10,44,B U15 4+,final,A,SHAK 1,WTLB 1,HAMB 1,HAUR 1,MLBB 1,STCC 1,KGCA 1,WTLB 2,,"medals"
484 (J),14:23,45,G U17 2X,final,B,MARN 1,WENT 1,CRAI 1,QMAR 1,NCOG 1,VILL 1,WNCS 1,MTAL 1,,""
485 (K),14:30,45,G U17 2X,final,A,BURN 1,ACGT 1,WEGC 1,DUNS 1,CAMB 1,HUAN 1,HAUR 1,TAKA 1,,"medals"
486 (L),14:43,46,B U17 4X+,final,B,JMCG 1,SPLH 2,MLBB 1,SHAK 1,WLCO 1,STCC 1,WHAK 1,STKT 1,,""
487 (M),14:50,46,B U17 4X+,final,A,OBHS 1,SPLH 1,WNHS 1,SHIR 1,TIMB 1,WAKA 1,STPC 1,WNCS 1,,"medals"
488 (N),15:03,47,G N18 4+,final,B,BTHC 1,MLBG 1,WTKG 2,DIOC 1,WNHS 1,SHGH 1,EGGS 2,NCOG 1,,""
489 (O),15:10,47,G N18 4+,final,A,EGGS 1,WTKG 1,WKDS 1,RRGS 1,RRGS 2,CGHS 1,CGHS 2,CGHS 3,,"medals"
490 (P),15:23,48,B N18 4X+,final,B,BTHC 1,STPA 1,PAPA 1,KGCA 1,MLBB 1,SPLH 1,STBD 1,AGSB 1,,""
491 (Q),15:30,48,B N18 4X+,final,A,STKT 1,TIMB 1,STPC 1,WAKA 1,WNHS 1,MTAS 1,FRAN 1,BURN 1,,"medals"
492 (R),15:43,49,G U16 2X,final,B,STHI 1,TAKA 1,WLGC 1,BURN 1,STPC 1,STMW 1,STIL 1,HAMG 1,,""
493 (S),15:50,49,G U16 2X,final,A,MTAL 1,MARN 1,HOWI 1,CASH 1,COLU 1,WHGG 1,WNHS 1,WAKA 1,,"medals"
494 (T),16:03,50,B U16 1X,final,B,WHGB 1,BURN 2,TEAW 1,PARN 1,AQUI 1,BURN 1,TRGB 1,CAMB 1,,""
495 (U),16:10,50,B U16 1X,final,A,HLMT 1,NELB 1,CASH 1,WLCO 1,TIMB 1,STLN 1,JMCG 1,WNHS 1,,"medals"
496 (V),16:18,52,B U18 8+,final,B,STCC 1,CHCO 3,AGSB 2,HAMB 2,WTLB 1,CHCO 2,WTLB 2,TRGB 1,,""
497 (W),16:27,51,G U18 8+,final,B,VILL 1,RRGS 3,BARA 1,STAN 1,RRGS 2,SHGH 1,BARA 2,STMG 2,,""
498 (X),16:35,52,B U18 8+,final,A,CBHS 1,HAMB 1,CHCO 1,KGCA 1,AGSB 1,STBD 1,STPA 1,KGCA 2,,"medals"
499 (Y),16:50,51,G U18 8+,final,A,WKDS 2,WNCS 1,RRGS 1,WKDS 1,STMG 1,CGHS 1,DIOC 1,EGGS 1,,"medals"
